,claims,evidences,label,date
10,"On Friday, January 20, 2023, a post on the Zambian Bulletin Facebook page claimed that the former Minister of Health, Dr. Chitalu Chilufya, had withdrawn from the race for the Presidency of the Patriotic Front party. The post alleges that Mr. Chilufya’s decision was due to his failure to mobilize resources required for his movements around the country to mobilize support from party members like the other aspirants were doing.","The claim by the Zambian Bulletin Facebook page that the former Minister of Health, Dr. Chitalu Chilufya, had opted out of the race for the Presidency of the Patriotic Front party is false. ",False,"Feb, 09 2023"
11,"On 20 January 2023, the Zambian Bulletin Facebook page published a post claiming that Mr. Chibamba Kanyama had been appointed Zambia’s Ambassador to the United States of America (USA). A similar post was shared on various other Facebook pages, including Zed Tabloid, Citizens Edge, Smart Eagles, and others, which congratulated Mr. Kanyama on his appointment. All the pages did not quote Mr Kanyama or any official source.","Through its fact checking process, iVerify Zambia has established as unproven the claim by the Zambian Bulletin and other Facebook pages that Mr. Chibamba Kanyama had been appointed as Zambia’s Ambassador to the United States of America (USA). ",Unproven,"Feb, 09 2023"
12,"On January 19, 2023, some social media platforms carried a post entitled, “ZAMBIA REVENUE AUTHORITY RECRUITMENT 2023/2024”. The post was disguised as an advert which further called on people to “Hurry Now And Apply For The Zambia Revenue Authority Job Recruitment 2023/2024 for new staffs”. The post directed people to clink on a given link for application guidelines. The link was also forwarded on Whatsapp platfotms.","iVerify Zambia has determined as False the post purpoted to be a recruitment advertisement from the Zambia Revenue Authority which was widely circulated on social media platforms. iVerify Zambia examined the link to the website and established that it was not a genuine Zambia Revenue Authority website page. iVerify also contacted ZRA through the Corporate and Communications Manager, Mr. Oliver Nzala who confirmed that the link was not from ZRA, adding that action would be taken through the Zambia Information and Communications Technology Authority (ZICTA). Further more, ZRA had posted on their official Facebook page a statement cautioning the public to  ignore any social media posts claiming that ZRA is recruiting for 2023 and 2024, as the postings are FAKE. ZRA was rather currently reviewing applications made in 2022 which it would communicate to the successful candidates in due course, according to the ZRA Facebook post. Therefore, it is false that ZRA is recruiting staff for 2023 and 2024 as the advertisement is fake including the website linked to the advert. ",False,"Feb, 06 2023"
13,"On Monday, December 20, 2022, the Zambian Post Facebook page published a post claiming that President Hakainde Hichilema terminated the appointment of Kangwa Chileshe as Permanent Secretary in the Ministry of Youth, Sport, and Arts, and replaced him with Chama Fumba as new Permanent Secretary in the same ministry. ","iVerify Zambia has determined as false the claim by the Zambian Post Facebook page that President Hakainde Hichilema has terminated the appointment of Kangwa Chileshe as Permanent Secretary in the Ministry of Youth, Sport, and Arts and replaced him with Chama Fumba as new Permanent Secretary in the Ministry.  To arrive at this conclusion, iVerify Zambia examined the video of the swearing-in ceremony for recently appointed government officials held at State House on December 20 2022. At no point in his speech did Mr. Hichilema state that he had fired Mr. Chileshe. In his address, the President directed Mr. Fumba to focus on developing arts in his new role as Permanent Secretary and leave Mr. Chileshe to handle sports. And in his congratulatory message posted on his Facebook page, Mr. Chileshe congratulated Mr. Fumba on his appointment and welcomed him to the Ministry. Mr. Chileshe pledged his unwavering support to Mr. Fumba as the two Permanent Secretaries work together. Therefore, the claim by the Zambian Post Facebook page that Mr. Hichilema has terminated the appointment of Mr. Chileshe as Permanent Secretary and replaced him with Mr. Fumba is misleading. ",False,"Feb, 06 2023"
14,"On January 18,2023, Simon Mwewa Lane Television Facebook page published a statement purporting that “When you call the phone numbers on the Lusaka City Council website ….nobody ever answers the phone and in many cases the numbers are outdated”. ","iVerify Zambia has determined as misleading the claim posted by Simon Mwewa Lane Television Facebook Page that the Lusaka City Council never answers phone calls and in many cases the contact numbers found on the website are outdated. To establish the facts, iVerify Zambia contacted The Lusaka City Council on 17th January, 2023, using the same contact details on the website who finally picked after several calls. A staffer from  the council answered but referred the query to the the Public Relations wing .The Public Relations Officer was engaged in a meeting at the time of the call  but iVerify Zambia was assured that the PRO would get back. The Council’s Contact numbers on the website are reachable and not outdated. Therefore, it is misleading the claim that the contact numbers are outdated and nobody ever answers, although the council personnel take time to pick calls. ",Misleading,"Feb, 06 2023"
15,"On Wednesday, January 4, 2023, Dr. Larry Mweetwa, a member and supporter of the ruling UPND party, uploaded a post on his official Facebook page, attaching an image depicting the Kariba with high water levels, with the remaining two images showing a dry river bed caused by low water levels as the current state of affairs at the dam. Dr. Larry wondered, from the contrast in the pictures, what the president can do to avert the current situation at the dam.","iVerify Zambia has determined as misleading the assertion by Dr. Harry Mweetwa that circulating images of the dry rock bed downstream of the dams plunge pool has been caused by low water levels, a reflection of the current state of affairs at the dam. According to a statement issued by Zambezi River Authority, a joint corporation equally owned by the governments of Zambia and Zimbabwe with the primary function to operate and maintain the Kariba Dam on the Zambezi River, there is a difference between Lake Kariba, which is the large water reservoir on the upstream side of the Kariba Dam wall (the concrete structure), and the plunge pool, which is a pool on the immediate downstream side of the Kariba Dam. Simply put, circulating images of the plunge pool showing the dry river bed downstream of the dam are not as a result of low water levels at Kariba, but images of rehabilitation works under the Kariba Dam Rehabilitation Project to reshape the plunge pool, Works which include the construction of cofferdam to enable controlled blasting and excavation of rock on both banks of the plunge pool under dry conditions. Therefore, the assertion by Dr. Harry Mweetwa that circulating images of the dry rock bed downstream of the dams plunge pool has been caused by low water levels, a reflection of the current state of affairs at the dam is misleading.",Misleading,"Feb, 06 2023"
16,"On Wednesday, January 4, 2023, Dr. Larry Mweetwa, a member and supporter of the ruling UPND party, uploaded a post on his official Facebook page, attaching an image depicting the Kariba with high water levels, with the remaining two images showing a dry riverbed caused by low water levels as the current state of affairs at the dam. Dr. Larry wondered, from the contrast in the pictures, what the president can do to avert the current situation at the dam.","iVerify Zambia has determined as misleading the assertion by Dr. Harry Mweetwa that circulating images of the dry rock bed downstream of the dams plunge pool has been caused by low water levels, a reflection of the current state of affairs at the dam. According to a statement issued by Zambezi River Authority, a joint corporation equally owned by the governments of Zambia and Zimbabwe with the primary function to operate and maintain the Kariba Dam on the Zambezi River, there is a difference between Lake Kariba, which is the large water reservoir on the upstream side of the Kariba Dam wall (the concrete structure), and the plunge pool, which is a pool on the immediate downstream side of the Kariba Dam. Simply put, circulating images of the plunge pool showing the dry riverbed downstream of the dam are not as a result of low water levels at Kariba, but images of rehabilitation works under the Kariba Dam Rehabilitation Project to reshape the plunge pool, Works which include the construction of cofferdam to enable controlled blasting and excavation of rock on both banks of the plunge pool under dry conditions. Therefore, the assertion by Dr. Harry Mweetwa that circulating images of the dry rock bed downstream of the dams plunge pool has been caused by low water levels, a reflection of the current state of affairs at the dam is misleading.",Misleading,"Jan, 05 2023"
17,"Zambia Must Prosper (ZMP) president, Kelvin Fube Bwalya on December 12, 2022, accused President Hakainde Hichilema of lying that he built the Kazungula Bridge. In a post on his Facebook page, Mr. Fube wrote, “Lies all the time…It’s in his DNA to lie”. He added, “NOW BALLY BUILT THE KAZUNGULA BRIDGE.” Mr. Bwalya’s claim follows a video circulating on social media in which Mr. Hichilema explains the benefits of investing in the bridge. ","iVerify Zambia has determined as misleading Mr. Bwalya’s claims that President Hakainde Hichilema said he built the Kazungula Bridge. To arrive at this decision, Iverify Zambia examined the video in which Mr. Hichilema was accused of saying he built the Kazungula Bridge. In the video, Mr. Hichilema is heard saying the bridge was making enough money to even enable Government pay back in two to three years, contrary to Mr. Bwalya’s claim that the President said he built the bridge. At no time during his speech did Mr. Hichilema say he built the bridge.   Throughout his remarks in the video, the President used the word “we” to refer to the Zambian Government. Therefore, the claim that Mr. Hichilema said he built the Kazungula Bridge is misleading.",Misleading,"Dec, 13 2022"
18,"On December 8, 2022, Zambia Reports Facebook page published a post claiming that people above the age of 36 years can claim their NAPSA benefits. This follows the assenting of   the National Pension Scheme (Amendment Bill) by President Hakainde Hichilema. ","iVerify Zambia has determined as misleading the claim by Zambia Reports that those above 36 years can claim NAPSA benefits. According to a Press statement from the National Pension Scheme Authority (NAPSA) office of the Director General, the new law addresses revision of the minimum age limit for one-off early access to Zambia National Provident Fund benefits from 50 to 36 years. “The revision of the minimum required age limit to access ZNPF benefits enatails that all members who contributed to the ZNPF between 1966 and 2000 and have not made a claim, can now claim their benefits without waiting to reach the age of 50, which was initially required for one to access the benefits,” said the statment.
The new law facilitates for payment of all ZNPF members and closure of ZNPF member accounts. The Minister of Labour and Social Security also clarified that the assented National Pensions Scheme Amendment Bill No. 21 of 2022 by President Hakainde Hichilema on early access to benefits only applies to members who contributed to the now defunct ZNPF and not NAPSA and claimed on social media. iVerify Zambia also contacted the National Pension Scheme help desk who stated that the amended bill only applies to ZNPF members and not NAPSA.",Misleading,"Dec, 09 2022"
19,"On December 1, 2022, Ms. Saboi Imboela, the National Democratic Congress (NDC) party President, published a post on her Facebook page alleging that President Hakainde Hichilema said that he had sold the Gulfstream Presidential Jet. This comes after the President’s remarks on the status of the Gulfstream Presidential Jet during the Judicial Conference held in Livingstone on November 29, 2022.","iVerify Zambia has determined as misleading the claim by Ms. Imboela alleging that the President said that he had sold the Gulfstream Presidential Jet. To arrive at this conclusion, iVerify Zambia examined the video showing the President speaking during the Judicial conference on November 29 2022 in Livingstone. In his speech, Mr. Hichilema said the Jet will be sold and that Government was just going through the procedures. Therefore, the Gulfstream Presidential Jet has not yet been sold but will be sold according to the President.",Misleading,"Dec, 06 2022"
20,"On November 27, 2022, Thomas Sipalo, a Zambian politician and entertainer, claimed in a write up on his Facebook page that farmers were sharing a bag of fertiliser on a plate. His claim follows a widely circulated video showing a group of people sharing what appears to be fertiliser. ","iVerify Zambia has determined as false the claim by Mr. Thomas Sipalo that farmers are sharing fertiliser. iVerify Zambia arrived at this conclusion after a telephone interview with National Agriculture Information Service (NAIS) Assistant Director Stubbs Malambo. Mr Malambo who dismissed the claim, described the video as mere propaganda. Mr. Malambo clarified that under the Government’s fertiliser support programme, farmers were getting six bags of fertiliser each comprising 3 bags of Compound D (basal fertiliser) and 3 bags of top dressing, as well as seed equivalent. He said whatever was happening in the video had nothing to do with Goverment’s fertiliser support programme adding that there was too much propaganda on the fertiliser issue. Mr. Malambo said the Gvernment would issue a press statement on the matter soon. Therefore, based on the information from the official agriculture information agency, the claim that farmers are sharing fertiliser under the Government’s scheme is false.",False,"Dec, 01 2022"
21,"On Sunday, November 27, 2022, the Zambian Post Facebook page uploaded a post alleging that all the suspects rounded up during the raid in Katete for attacking the police have escaped from police custody, prompting police to launch a fresh manhunt for the suspects. This is in a matter where police in Katete have arrested and jointly charged 20 suspects for three counts of malicious damage to property contrary to Section 335, one count of arson contrary to Section 328 and assault on police contrary to Section 250 Chapter 87 of the Laws of Zambia.","iVerify Zambia has determined as false the claim by the Zambian Post Facebook page alleging that all the suspects rounded up during the raid in Katete for attacking the police have escaped from police custody, prompting police to launch a fresh manhunt for the suspects. Zambia Police Deputy Spokesperson Danny Mwale said in a statement that all the suspects are still detained in police custody and will appear in court on Monday, November 28, 2022. This is in a matter where police in Katete have arrested and jointly charged 20 suspects for three counts of malicious damage to property contrary to Section 335, one count of arson contrary to Section 328 and assault on Police contrary to Section 250 Chapter 87 of the Laws of Zambia. Therefore, the claim on the Zambian Post Facebook page alleging that all the suspects rounded up during the raid in Katete for attacking the police have escaped from police custody, is false.",False,"Nov, 29 2022"
22,"On 23 November 2022, the Candidates Facebook page published a post claiming that Mr. Mcdonald Chipenzi has been appointed as the new Electoral Commission of Zambia (ECZ) Vice Chairperson.","The iVerify fact-checking unit has determined as false the claim by The Candidates Facebook page that Mr Chipenzi has been appointed as the new ECZ Vice Chairperson. According to a press release from the Office of the President Press and Public Relations dated 23 November 2022, President Hichilema has, pursuant to Section 5(1) of the Electoral Commission of Zambia Act No. 25 of 20 1 6, appointed Mrs. Mwangala Zaloumis, Mr. Ali Simwiinga and Mr. Mcdonald Chipenzi as Chairperson, Vice Chairperson and Commissioner of the Electoral Commission of Zambia, respectively, subject to ratification by National Assembly.
Therefore, Mrs. Mwangala Zaloumis is the ECZ Chairperson, Mr. Ali Simwiinga is the ECZ Vice Chairperson and Mr. Mcdonald Chipenzi has been appointed ECZ Commissioner.",False,"Nov, 23 2022"
23,"On Sunday, November 20, 2022, Zambian Most Trending Videos and News Facebook page uploaded a post shared from Patriots for Economic Progress Party President Sean Enock Tembo’s Facebook page claiming that the police were destroying property in Chieftainess Kawaza’s chiefdom in  Katete district. In the post, Mr. Tembo said, “this is not the Zambia we want”. The post followed  the attack on police officers by irate villagers from Kwaza village in Chieftainess Kawaza’s Chiefdom. This was after two suspects detained for allegedly practicing witchcraft were released by the police for lack of evidence. ","iVerify Zambia fact-checking process has determined as misleading the claim shared by Zambian Most Trending Videos and News facebook page that the police were destroying property in Chieftainess Kawaza’s chiefdom in Katete district. The claim follows the attack on police by irate community members from the chiefdom after police released two suspects accused of practicing witchcraft. Zambia Police Deputy Spokesperson Danny Mwale said in statement that the police had gone to the area to to restore law and order following reports that villagers were destroying property belonging to the two suspects but were in the process attacked. This is contrary to the claim that police were destroying property in the area. Mr. Mwale also stated that it had come to the attention of police that a total of 15 houses and a Toyota Hilux were destroyed. Therefore, the assertions that police were destroying property in Chieftainess Kawaza’s chiefdom in Katete district is misleading.",Misleading,"Nov, 23 2022"
24,"On Sunday, November 6, 2022, News Breakers Facebook page posted a statement asserting that the Examination Council of Zambia had nullified the 2021 Grade 12 examination results for 612 pupils. In related media claims, various Facebook pages ran the claim alleging that the nullification for Grade 12 examination results was done country wide.","The iVerify Zambia fact checking process has determined as misleading, the claim by News Breakers Facebook page alleging that the Examination Council of Zambia has nullified 2021 Grade 12 results for 612 pupils. In an interview with iVerify Zambia, Examination Council of Zambia Public Relations Manager Nicolas Nkhuwa clarified that while the Examination Council of Zambia had nullified some 2021 Grade 12 results, those nullified were from Mayukwayukwa in Kaoma District, Western Province only as opposed to media speculations that nullification was done at national level. Mr. Nkhuwa further explained that figure 612 was mere speculation by News Breakers and not officially confirmed by ECZ. Therefore, the claim by News Breakers Facebook page and other social media platforms alleging that the Examination Council of Zambia has nullified 2021 Grade 12 results for 612 pupils in Zambia, is misleading.",Misleading,"Nov, 09 2022"
25,"On Saturday November 5 2022, a story was submitted through the iVerify Zambia Tipline regarding the authenticity of the news stating that the National Democratic Congress party (NDC) leader Saboi Imboela has been released from police custody on police bond after being detained at Kabwata Police Station.",The iVerify Zambia has determined as true the claim that Saboi Imboela has been released on Police Bond. iVerify Zambia contacted Zambia Police Spokesperson Rae Hamoonga for a comment. He confirmed the release of Ms. Imboela who was detained at Kabwata Police Station and stated that she will appear before court soon. ,True,"Nov, 05 2022"
26,"On Friday, October 28, 2022,  a Facebook  page purported to belong to Minister of Finance and National Planning Dr. Situmbeko Musokotwane posted a statement urging applicants from all sectors of society to apply for grants following the approval of US$275m financing by the World Bank to support Zambia’s Reform Programme.  According to the statement, the grants were supported under the programme which involved collaboration with the United States Agency for International Development (USAID), the Global Entrepreneurship Network, and the International Development.","iVerify Zambia has determined as false, the statement purported to have been released by Minister of Finance and National Planning Dr. Situmbeko Musokotwane urging applicants from all sectors of society to apply for grants following the approval of US$275m financing by the World Bank to support Zambia’s Reform Programme. iVerify Zambia arrived at this conclusion after Dr. Musokotwane issued an official statement dismissing the statement circulating on social media. In his statement also published on the Ministry of Finance and National Planning official Facebook page, Dr. Musokotwane described the statement circulating on social media as fake news and urged the general public to protect their personal information. Dr. Musokotwane further informed the public that the statement calling for grants application was a scam and fraudulent, as the Face book page alleged to belong to him was itself a fake. Therefore, the statement purported to have been released by the Minister of Finance and National Planning, Dr. Situmbeko Musokotwane urging applicants from all sectors of society to apply for grants following the approval of US$275m financing by the World Bank to support Zambia’s Reform Program, is false.",False,"Oct, 31 2022"
27,"On Monday, October 17, 2022, Frontlines Zambia online page published an article alleging that former PF Kwacha Constituency MP Joe Malanji had grabbed all the furniture he donated to Bulangililo clinic, accusing the kwacha residents of being against him. In a related incident, various Facebook media pages alleged that Malanji had also grabbed two buses he donated to two United Church in Zambia (UCZ) in Kwacha East.","iVerify Zambia has determined as false, the assertions by Frontlines Zambia and various online pages alleging that the former PF Kwacha Constituency MP Joe Malanji had grabbed all the furniture he donated to Bulangililo clinic, and two buses donated to two United Church in Zambia (UCZ) in Kwacha East, accusing the kwacha residents of being against him. In an address to the media in Lusaka, the former PF Kwacha Constituency MP, Malanji dismissed social media reports suggesting that he is grabbing items he donated to the communities in Kwacha. Hon. Malanji in the media address assured the residents of Kwacha that all the projects initiated by him during his tenure will still continue. He further appealed to the media to take as propaganda, media reports circulating on social media that he is going around Kwacha Constituency repossessing donations made to the communities. Therefore, the assertions by Frontlines Zambia and various online pages alleging that the former PF Kwacha Constituency MP Joe Malanji had grabbed all the furniture he donated to Bulangililo clinic, and two buses donated to two United Church in Zambia (UCZ) in Kwacha East, accusing the kwacha residents of being against him, is false.",False,"Oct, 26 2022"
28,The Patriotic Front Page claims Fumba Chama popularly known as “Pilato” was honoured and rewarded for his support of the United Party for National Development (UPND). The Patriotic Front Page made the claim in a post published on October 24 2022 following the National Honours and Awards Investiture Ceremony held at State House in Lusaka on Independence Day. ,"The iVerify Zambia has determined as false the claim by the Patriotic Front Facebook page that Mr Fumba Chama was  honoured and rewarded for his support of UPND. According to the tribute read to Mr Chama during the Investiture ceremony, he  was honoured for contributing to the advocacy against corrupt practices, inequality, poverty and injustices, an advocacy that was pursued through a Civil Society movement called Action for Accountability. His advocacy led to one of his songs Bufi (lies) to be banned from public radio stations as it was deemed to be a threat to public peace.  His advocacy further reached an extent where he was even imprisoned, according to the tribute. ",False,"Oct, 26 2022"
29,"On October 19, 2022, the Zambian Watchdog published a story on its Facebook page headlined “Only two Judiciary workers pass ZIALE Aptitude test. There were 170 candidates. There were only five questions…0” In the story, the Watchdog claimed the Judiciary of Zambia had “engaged the notorious Zambia Institute of Legal Advanced Education” (ZIALE) to test lay magistrates on Thursday October 13, 2022. “ZIALE did what it knows best: make all except two fail,” said the Watchdog.","iVerfiy Zambia has determined as misleading the assertion by the Zambian Watchdog and other social media platforms that the Judiciary had engaged ZIALE to prepare and set the aptitude test for lay magistrates. To establish the correct position on the matter, iVerify Zambia visited the Judiciary of Zambia official website and obtained a statement reacting to the claim. According to the statement dated October 19 and signed by Judiciary of Zambia Public Relations Officer Kalumba Chisambisha-Slavin, the Judiciary was concerned with assertions circulating on social media platforms that the Judiciary had outsourced the Zambia Institute of Legal Advanced Education (ZIALE) to prepare and administer the aptitude test for Magistrate Class III held on October 13, 2022. She said the correct position was that the aptitude test questions were set, compiled and marked by the Judiciary. “The only role that ZIALE played was to avail its facility (the examination hall) for use by the Judiciary,” Slavin explained. She said this was because the Judiciary had no facilities of its own to accommodate the number of candidates that sat for exams. “The Judiciary would therefore like to take this opportunity to inform the public that it remains committed to the ideals of transparency, accountability and probity and thus remains open to provide verified information to members of the public who may have queries on issues of interest,” said Slavin. Therefore, while it is true that only two passed the aptitude test of the 170 who sat for the test, the test questions were set, administered, and marked by the Judiciary and not ZIALE.",Misleading,"Oct, 24 2022"
30,"On October 19, 2022 the Patriotic Front Facebook page published an article claiming that Local Government and Rural Development Minister and and Mazabuka MP Gary Nkombo     allegedly said “We don’t care about the health of Zambians, that’s Nonsense! We have more important things issues to look out for.”","The fact checking process has determined as false the claim that Local Government and Rural Development Minister and Mazabuka MP Gary Nkombo allegedly said “ We don’t care about the health of Zambians, that’s Nonsense! We have more important things issues to look out for.” The claim by the PF Face book page comes after Kamfinsa MP Christopher Kang’ombe on October 19 2022 moved a motion in Parliament urging Government to increase number of operating hours for all public health facilities across the nation. To verify the statement, iVerify Zambia examined a video from National Assembly of Zambia Official Facebook page of Mr. Nkombo during his debate on the matter in Parliament, from where the video clip was taken. From the video of the proceedings, at no point did the minister state that he or his entire government don’t care about the health Zambians or use the word nonsense as claimed by the PF page.",False,"Oct, 21 2022"
31,"On October 12 2022, Socialist Party President  Fred Mmembe  claimed in a post on his Facebook page that the serious acts of criminality had been limited to gender-based violence. His statement follows a press statement from State House issued on October 11 2022 with the heading, “President Hakainde Hichilema today hosted the 13 gender-based violence survivors at State House”. Dr. Mmembe wondered how serious acts of criminality could be limited to gender based violence.","iVerify Zambia has determined as misleading the claim by Socialist Party President Fred Mmembe that the serious acts of criminality have been limited to gender based violence. Dr. Mmembe’s was reacting to a State House press statement headlined “President Hakainde Hichilema today hosted the 13 gender based violence survivors at State House.” In a posting on published on his Facebook page,  Dr. Mmembe wondered why serious acts of criminality perpetrated against the 13 girls could be limited to Gender based violence. In arriving at the conclusion that Dr. Mmemb’s claim was misleading, iVerify Zambia scrutinised
the Anti-Gender-Based Violence Act No 1 of 2011.
According to Part 1 of the Act under the interpretation clause section 3 the definition of gender-based violence includes “violence that results in, or likely to result in, physical, sexual or psychological harm or suffering to the person, including threats of such acts, coercion or arbitrary deprivation of liberty, whether occurring in public or private life.”
The act further defines “physical abuse” as “use of physical force against another person, including the forcible confinement or detention of another person and the deprivation of another person of access to adequate food, water, clothing, shelter, rest or subjecting another person to torture or other cruel, inhuman or degrading treatment or punishment.”
In terms of the number of acts that may amount to gender-based violence, Part 2 of the Act states that a single act may amount to gender-based violence. Based on the Anti-Gender-Based Violence Act No 1 of 2011 Act, the acts of criminality perpetrated against the 13 abducted girls amount to gender based violence. Therefore, the claim by Dr. Mmembe that serious acts of criminality had been reduced to Gender based violence is misleading.",Misleading,"Oct, 21 2022"
