Claim,Evidence,Label,Date,URL
INEC has sacked Sokoto and Abia RECs for breaches of law.,"Checks by The FactCheckHub show that the claim is FALSE. The FactCheckHub reached out via WhatsApp to INEC’s National Commissioner for Information and Voter Education, Festus Okoye, to verify the claim. “INEC does not have the power to sack or dismiss a Resident Electoral Commissioner as they can only be relieved of their appointment through the instrumentality of the National Assembly and the President,” he said in a terse response. Further checks also revealed that the Independent National Electoral Commission Decree of 1998 states that the Resident Electoral Commissioner appointed may be removed by the Head of State or Commander in Chief of the Armed Forces.",FALSE,12-03-2023,https://factcheckhub.com/kenneth-okonkwo-makes-false-claims-about-two-resident-electoral-commissioners-being-sacked/
Babajide Sanwo-Olu begs Lagosians to chat him on WhatsApp.,"Checks by The FactCheckHub show that the WhatsApp contact which has now gone viral originated from one Facebook account, Lagos Talks and not that of Governor Sanwo-Olu. Screenshot of one of the viral WhatsApp contacts. The Facebook account posted the contact, with a caption thus: “Chat with Sanwo-Olu on WhatsApp.” However, the screenshot of the post has now been circulated on WhatsApp and Twitter with a claim that the governor publicizes his WhatsApp contact out of desperation for votes in the coming March 18 gubernatorial election in the state. Further checks by The FactCheckHub using True Caller revealed that the name on the WhatsApp contact is: “Keep Lagos Moving.” When The FactCheckHub sent a message to the WhatsApp number, the user identified himself as one Babajide Sanwo-Olu, who is soliciting for the support of Lagosians in the March 18 gubernatorial election. His automated response to our inquiry read: “Hello. My name is Babajide Sanwo-Olu and I need your support on March 11th 2023 to continue moving Lagos forward. Please save my number so I will show you what you will benefit. Are you ready to get started? Type Yes or No(sic).” To clarify further, The FactCheckHub contacted Gboyega Akoshile, the Chief Press Secretary to Governor Sanwo-Olu. In his response, he said the WhatsApp contact does not belong to Governor Sanwo-Olu, adding that it is an attempt by heinous scammers to dissuade the voters.",FALSE,11-03-2023,https://factcheckhub.com/scam-alert-viral-whatsapp-contact-does-not-belong-to-lagos-governor-sanwo-olu/
Photo shows Peter Obi and Gbadebo Rhodes-Vivour with alcoholic drinks on their table.,"Findings by The FactCheckHub show that the claim is MISLEADING. When the FactCheckHub conducted a Google Reverse Image search on the photo, the result shows that the image has been manipulated. Further checks show that the original image had been shared online, among several others, by a Twitter user, Pearls on February 17, 2023 with a caption thus: “BREAKING: The Incoming President of Nigeria, HE Peter Obi, is currently meeting with the Incoming Governor of Lagos, Gbadebo Rhodes-Vivor at Ikeja Airport!” Another Tweep, @Morris_Monye tweeted the original images same day with a caption that read: “Happening now at Lagos Airport. Peter Obi in a chit-chat with Gbadebo Rhodes-Vivour (Incoming Governor of Lagos state under LP).” In the original image, no bottle was seen on the table of the duo contrary to what the doctored version looked like.",MISLEADING,09-03-2023,https://factcheckhub.com/photo-does-not-show-peter-obi-gbadebo-rhodes-vivour-drunk-at-lagos-airport/
"Nigerian Army recently accused Governor Nyesom Wike, Governor of Rivers State of attempting to compromise election.
","Findings by The FactCheckHub show that the claim is MISLEADING. When The FactCheckHub subjected the keyframes of the video generated with InVID to multiple reverse image search, the results show that the video has been online since 2019. In the full video obtained by The FactCheckHub, the Nigerian Army through her then Director of Public Relations Officer, Aminu Ilyasu accused the governor of Rivers State, Nyesom Wike, of making an attempt to bribe security agencies to comprise the 2019 general elections. Several media outfits such as Sahara Reporter also reported the Army’s allegation against Wike in 2019.",MISLEADING,05-03-2023,https://factcheckhub.com/dino-melaye-shares-misleading-video-of-nigerian-army-accusing-wike-of-attempting-to-compromise-election/
The European Union issued a joint press statement with NDI and IRI calling for sanctions on the INEC chairman and the President-elect following the conduct of Nigeria’s 2023 presidential election.,"Findings by the FactCheckHub show that the claim is FALSE. A close look at the press statement shows that it wasn’t duly signed by any relevant official – either the Chief Observer or the EU press officer. In a brief response to the FactCheckHub inquiry on Friday, Agnes Doka, the Press Officer to the Delegation of the European Union to Nigeria and ECOWAS, debunked the claim. “I want to let you know that this news is false, and it is in no way true,” the texts sent via WhatsApp read. The @EUinNigeria also debunked the press statement via their official Twitter handle as seen below: Fake News, Beware!! pic.twitter.com/KKdwd1H025 — EU in Nigeria 🇪🇺🇳🇬 (@EUinNigeria) March 3, 2023",FALSE,04-03-2023,https://factcheckhub.com/false-claims-attributed-to-european-union-delegation-ndi-iri-election-observers-circulate-online/
Electoral law says contestants for House of Reps seat has to possess N70 million in cash.,"Checks by the Nigerian Fact-checkers Coalition (NFC) show that the claim is INCORRECT. To understand the legal requirements related to election expenses, we referred to the Electoral Act, 2022. Section 88 (4) of the Act states that: “The maximum amount of election expenses to be incurred by a candidate in respect of Senatorial and House of Representatives seat shall not exceed N100,000,000 and N70,000,000 respectively.” However, the law does not stipulate the nature of these expenses or whether it should be in cash. In addition, we presented Doguwa’s claims to Mr. Rotimi Oyekanmi, Chief Press Secretary to the INEC Chairman, Professor Mahmood Yakubu, and asked for further clarity: “The law does not say a House of Representatives candidate must or should have N70,000,000. No. It only states very clearly that they cannot spend more than N70,000,000 on election expenses. “So, it is not correct for a candidate for the House of Representatives seat to say or insinuate that he or she is expected to have N70,000,000. That’s not what the law says,” Oyekanmi told our fact-checkers.",INCORRECT,17-02-2023,https://factcheckhub.com/does-nigerias-electoral-law-say-a-contestant-for-house-of-reps-seat-must-possess-n70-million-cash/
Photo shows crowd at APC campaign rally in Sokoto.,"Findings by The FactCheckHub show that the claim is MISLEADING. Screenshot of the tweet by Keyamo showing the misleading image. The FactCheckHub found out that a Nigerian news platform, PM News, also published the same image in its media report of the rally with a caption that read: Gargantuan crowd at APC’s presidential rally in Sokoto. But a Google Reverse Image search of the photo shows that the aerial image was taken by Colin Hinkle, with the twitter username: @hinklecolin, an aerial photographer on July 31, 2021 at a 4-Day music festival in Chicago, United States popularly known as Lollapalooza. In an interview with Business Insider Africa also published by Yahoo News on August 3, 2021, the photographer, Colin Hinkle said the image shows a large crowd who converged at the event in Chicago without wearing masks. Hinkle said he is an aerial photographer who uses drones or helicopters to gather video or photos from aerial view.",MISLEADING,12-02-2023,https://factcheckhub.com/festus-keyamo-shares-misleading-photo-to-depict-apc-campaign-rally-in-sokoto/
"Gbadebo Rhodes-Vivour, the governorship candidate of the Labour Party in Lagos state, claimed that in 14 years, Lagos has only been able to construct 16 km of rail.","According to several media reports, President Muhammadu Buhari visited Lagos state to commission 13 kilometres of the first phase of the Lagos Blue Rail Line on January, 24, 2023. The Lagos light rail network was flagged off by the Bola Tinubu administration in 2003. The elevated train network stretches from Marina to Mile 2. According to the state government, the rail line is expected to be 27km at its full development and would have the capacity to transport about 500,000 passengers daily.",INCORRECT,05-02-2023,https://factcheckhub.com/fact-checking-three-lagos-gubernatorial-candidates-at-the-platform-debate/
Tinubu claimed that Atiku Abubakar was a Senate President.,"Findings by The FactCheckHub show that the claim is FALSE. Atiku Abubakar, one of the front-runners in the 2023 presidential election, is a former Nigerian Vice President during the democratic regime of Chief Olusegun Obasanjo (1999 – 2007) and a retired Officer of the Nigerian Customs Service (NCS). He ran as governor of Adamawa State four times before becoming Obasanjo’s running mate in 1999 and served two-term as his VP. Since 1993, Atiku has continued to eye the presidential seat and is set to battle it with other contenders on February 25, 2023. In 1993, he contested the Social Democratic Party (SDP) presidential primaries and lost to Moshood Abiola. Also, in 2007, he was a presidential candidate for the Action Congress. In 2011, he also contested the presidential primaries of the PDP and lost to Goodluck Jonathan who was the incumbent. In 2014, he joined the APC and lost to Muhammadu Buhari at the party’s primaries. Also, in 2019, he contested under the platform of the PDP, and lost again to the incumbent President Buhari. However, Abubakar has denied ever being a Senate President, The Guardian reported.",FALSE,04-02-2023,https://factcheckhub.com/was-atiku-a-senate-president-as-claimed-by-tinubu/
Over 133 million Nigerians according to the NBS are living in abject poverty.,"According to a recent report by the National Bureau of Statistics (NBS) on multi-dimensional poverty, about 133 million people in the country, representing 63 per cent of the population, are living in different categories of poverty. The report stated that 65 per cent of the poor (86 million people) live in the North, while 35 per cent (nearly 47 million) live in the South.",TRUE,03-02-2023,https://factcheckhub.com/2023-election-fact-checking-12-claims-made-by-kwankwaso-at-chatham-house/
Photo shows Obi drinking beer which has a Biafran trademark.,"Findings by The FactCheckHub show that the image has been distorted. Hero beer is a popular beer launched in 2012 and brewed in Onitsha, Anambra state in South-Eastern Nigeria. Each beer bottle has an 11-pointed star which beams yellow, orange, and red placed upon a dark green which appears similar to the symbol of proscribed Indigenous Peoples of Biafra (IPOB), a secessionist group. A closer look at the image shows some distortion around Peter Obi’s neck indicating that his head was doctored in the photo and the beer bottles on the table also appear photo-shopped. A Google Reverse Image search on the internet shows that the original picture was tweeted online by one Twitter user, @Jaiynaija, on the 23rd of January, 2023 before it was photo-shopped and later tweeted by Adamu Garba the following day.",FALSE,29-01-2023,https://factcheckhub.com/adamu-garba-shares-doctored-image-of-peter-obi-with-alcoholic-drink/
Sowore authored quotes praising Peter Obi for being a humble man.,"Findings by FactCheckHub show that the quote was fabricated. The FactCheckHub observed that none of the social media users who posted the texts referenced their source(s) publicly, thus raising a red flag. Also, a keyword search on Google Search did not reveal anywhere or when Sowore made the statement. Moreover, no credible media organisation in the country reported the quote attributed to Sowore. When the FactCheckHub contacted Sowore via WhatsApp, he disowned the viral quote and affirmed that it’s “FALSE”. Sowore further also disowned it via his Twitter handle. I never made any utterance(s) attributed to me here by @UzomaPreciousF1 about @PeterObi! #WeCantContinueLikeThis pic.twitter.com/s2itNbspgb — Omoyele Sowore (@YeleSowore) January 23, 2023",FALSE,28-01-2023,https://factcheckhub.com/fake-quote-attributed-to-sowore-applauding-peter-obi-circulates-online/
"No Yoruba woman has bore the title of First Lady in Nigerian Presidency.
","Findings by The FactCheckHub show that the claim is FALSE. Since 1963, during the administration of the country’s first president, Nnamdi Azikwe till date, Nigeria has had 15 First Ladies in the Presidency. They include: Flora Azikiwe (1963-1966), Victoria Aguiyi-Ironsi (1966-1966), Victoria Gowon (1966-1975), Ajoke Muhammed (1975-1976), Esther Oluremi Obasanjo (1976-1979, Hadiza Shehu Shagari (1979-1983), Safinatu Buhari (1983-1985), and Maryam Babangida (1985-1993). Others are Margaret Shonekan (1993), Maryam Abacha (1993-1998), Fati Lami Abubakar (1998-1999), Stella Obasanjo (1999-2005), Turai Yar’Adua (2007-2010), Patience Jonathan (2010-2015), and Aisha Muhammadu Buhari (2015 till date). In the last 59 years, Nigeria has had at least three First Ladies from the Yoruba ethnic group. The Yorubas among the past First Ladies include Ajoke Muhammad, wife of the (late) General Muritala Muhammad; Esther Oluremi Obasanjo, wife of Chief Olusegun Obasanjo (now ex-wife); and Margaret Shonekan, wife of the (late) Chief Earnest Shonekan. This shows that 2023 would not be the first time that Nigeria will be having a Yoruba First Lady, contrary to the claim by Atiku’s wife, Titi.",FALSE,27-01-2023,https://factcheckhub.com/atikus-wife-titi-abubakar-makes-false-claim-about-the-office-of-nigerias-first-lady/
"Sanusi authored a quote saying North is not the problem of Nigeria but tribalism.
","Findings by The FactCheckHub show that the quote was fabricated. Further checks revealed that the quote started making round on internet since two weeks ago as seen here and here. However, the FactCheckHub observed that none of the social media users who posted the same quote disclosed their source(s) publicly, thus raising a red flag. Also, a keyword search on Google did not reveal anywhere or when the former Emir made the statement. Moreover, no credible media organisation in Nigeria reported the quote attributed to Sanusi. This is not the first time a false quote would be attributed to Sanusi. For instance, the FactCheckHub had earlier debunked a quote attributed to him, where he was purportedly analyzing the uniqueness of at least three presidential candidates contesting Nigeria’s 2023 election. When contacted, Imam Murtala Gusau, a regular Islamic columnist and a close friend of Sanusi confirmed to FactCheckHub that the quote was not from the former Emir. Charly Boy is a regular purveyor of disinformation who has been fact-checked several times by The FactCheckHub. He wields strong influence online and has over 185,000 followers on Twitter. For instance, the FactCheckHub had earlier reported how he shared a misleading video with a claim that it showed Peter Obi’s supporters in boats holding a campaign rally in riverine areas. The FactCheckHub also reported how he made a false claim about the electronic transmission of election results by the Independent National Electoral Commission (INEC). He also tweeted a misleading photo showing the presidential candidate of the All Progressives Congress (APC), Bola Ahmed Tinubu, watching Peter Obi, on a television screen in an aircraft.",FALSE,21-01-2023,https://factcheckhub.com/charly-boy-shares-fake-quote-attributed-to-sanusi/
63 per cent of Nigeria’s population lives in poverty.,"According to a recent report by the National Bureau of Statistics (NBS) on multi-dimensional poverty, about 133 million people in Nigeria, representing 63 per cent of the population, are living in different categories of poverty. The report stated that 65 per cent of the poor (86 million people) live in Northern Nigeria, while 35 per cent (nearly 47 million) live in the South. The National Multi-Dimensional Poverty Index (MPI) report is 0.257, indicating that poor people in Nigeria experience just over one-quarter of all possible deprivations. The report stresses that poverty levels across states vary significantly, with the incidence of multi-dimensional poverty ranging from a low of 27 per cent in Ondo to a high of 91 per cent in Sokoto. Accordingly, the incidence of monetary poverty is lower than the incidence of MPI across most states. In Nigeria, 40.1 per cent of people had been deemed poor, according to the 2018/19 national monetary poverty line, but 63 per cent have now been regarded as multi-dimensionally poor according to the National MPI 2022.",TRUE,20-01-2023,https://factcheckhub.com/2023-election-fact-checking-peter-obis-claims-at-chatham-house/
Tinubu was the first governor in Nigeria to raise bond for infrastructure and development in Nigeria.,"A bond, according to Investopedia, is a fixed-income instrument that represents a loan made by an investor to a borrower (typically corporate or governmental). A bond could be thought of as an I.O.U. between the lender and borrower, including the loan details and its payments. Bonds are used by companies, states, and sovereign governments to finance projects and operations. Owners of bonds are debt-holders, or creditors, of the issuer. Bond details include the end date when the principal of the loan is due to be paid to the bond owner and usually include the terms for variable or fixed interest payments made by the borrower. The Nigerian Securities and Exchange Commission (SEC) defined a bond as tradable security issued by the borrower (bond issuer) representing a formal agreement to repay the lender (the bondholder) the full amount plus interest over the lifetime of the bond. In Nigeria, a bond may be publicly placed (i.e., listed on an exchange for trading) for trading by the public or maybe a private placement, sold to qualified investors, i.e., institutional investors (like Pension Funds, Banks, etc.) and high net worth individuals. Findings by The ICIR revealed that in 1978, the old Bendel state government headed by Husaini Abdullahi, a military governor took a bond, this preceded Tinubu’s administration in Lagos state. The Bendel State Loan Stock valued at N20 million was taken to develop housing estate in the region. The bond matured in 1988 at a 7 per cent coupon rate. Then, there was a bond taken by the Ogun State Revenue Bond, which took a N15 million, 10-year bond in 1986 for the development of a water project. When the bond was taken, Raji Alagbe Rasaki was the state’s military governor. Between 1987 and 1988, the Lagos State Revenue Bond issued a total sum of N90 million bond for the development of the Lekki Peninsula. Mike Akhigbe was the military governor then. In 1987, the first Oyo State Revenue Bond of N30 million for Adamasingba Shopping Complex and Gbagi Market Development was a 12-year bond. The Kaduna State Revenue Bond took a N60 million bond between 1989 and 1993 for the development of Ginger factory. Abdullahi Sarki Mukhtar and Lawal Jafaru Isa were the military governor and administrators, respectively, within these periods. The Edo State Revenue Bond took a N1 billion bond in 2000 for the development of Ogba Riverside Housing Estate. Lucky Igbinedion was the elected executive governor. The same year, the Delta State Revenue Bond, which took N3.5 billion to develop market, healthcare, water and education in the state. James Ibori was the governor. In 2002, Yobe State Revenue Bond and Ekiti State Revenue Bond took bonds for various developmental projects in their states, respectively. The Lagos State government under Tinubu in 2002 took N15 billion bond through the Lagos State Bond for the refinance of developmental projects in the state. As of February 26, 2015, Lagos State was leading other states with a total of N290.09 billion in bond issuance. The highest was N87.5 billion government Bond – Series 2 under the N167.5 billion debt issuance programme of 2013 for maturity in 2020. The bond raised, which was issued at a 13.5 coupon rate, was meant for infrastructure developments (roads, rail, buildings and bridges etc), health facilities, Adiyan Water Project Phase II construction, and shoreline protection work. Lagos had in 2012 issued a N80 billion bond under the Series 1 of the N167.5 billion debt issuance programme at a 14.5 per cent coupon rate for construction of Adiyan Waterworks (Phase II), infrastructure developments (roads, rail, buildings and bridges etc.), health facilities and redevelopment of Eric Moore Schools (Phase I).",FALSE,13-01-2023,https://factcheckhub.com/fashola-makes-false-claim-that-tinubu-is-the-first-governor-to-raise-infrastructure-bond/
"Visuals show image of Peter Obi on bags of rice branded with PDP logo.
","Checks by The FactCheckHub show that the claim is FALSE. The purported video shows a scene where some bags of rice branded with PDP logo and the names of some contestants under the party were being loaded into a truck. When our researcher did a keyframe analysis of the footage using InVid – a video verification tool, findings show the branded bags of rice had on them names of some PDP candidates who are contesting for various elective positions in Delta state as well as that of Atiku Abubakar and Ifeanyi Okowa, the party’s presidential candidate and his vice, respectively. A clearer pictures of branded bags of rice/ Source: Facebook Names seen on the bags include: Hilary Obioma Igbebulem, secretary to the Delta state governor; Atiku Abubakar, presidential candidate; Ifeanyi Okowa, vice-presidential candidate; Sheriff Oborevwori, PDP governorship candidate in Delta state, Ned Nwoko, Delta North senatorial candidate, Victor Nwokolo, representing Ika Federal Constituency and Marilyn Okowa, a contestant for Delta state House of Assembly. Further checks online revealed a clearer image of the packaged rice. Findings revealed that the image seen on the branded bags of rice is that of Hilary Obioma Igbebulem, the principal secretary to the Delta State governor who reportedly sponsored or bought the items and not Peter Obi as claimed in the viral social media posts. Another clearer image showing the bags of rice",FALSE,03-01-2023,https://factcheckhub.com/image-on-branded-bags-of-rice-shows-pdp-chieftain-not-peter-obi/
